User_ID,Customer_Name,Customer_Email,Registration_Date,Country,Age,Product_Category,Price,Description
18,Monica Roberts,jonathan36@example.org,2019-03-08,USA,38,Electronics,54.121002730366094,Miss together community sometimes.
32,Kenneth Miller,laura50@example.net,2017-08-06,UK,47,Books,89.19327836061281,Democratic today training stuff add.
43,Jacqueline Mccall,ajordan@example.net,2017-11-28,Germany,50,Home Goods,4.519344817413174,Machine someone television notice contain.
48,Donald Patterson,chloe12@example.com,2020-04-11,Canada,42,Home Goods,32.32371354760277,Measure maybe organization much choice spring.
64,Tara Moreno,linda17@example.org,2020-07-11,Canada,25,Books,29.008647057742067,Concern might cut image.
29,Elizabeth Lopez,dylan21@example.net,2020-03-01,Canada,47,Electronics,55.47504145537895,Despite just several possible true.
34,Donna Watson,woodlee@example.com,2022-08-05,Germany,29,Electronics,11.535209321476792,Over power politics.
64,Brittany Davis,davisrachel@example.org,2018-01-25,Australia,19,Home Goods,8.25524062989581,Go view per.
32,Jamie Ramirez,davilaalicia@example.org,2017-08-28,UK,64,Books,59.238175744211304,Relate development change public space practice.
26,Melanie Reynolds,murphymichael@example.org,2015-11-18,Germany,42,Clothing,86.11416803604189,Born page stuff level.
40,Laura Alvarado,michael32@example.com,2018-04-18,USA,18,Home Goods,98.98397497662921,Quite book interest fish with political could.
45,Amanda Young,jrobinson@example.com,2023-07-08,Germany,31,Electronics,45.63107484568132,Myself return position member.
61,Robert Rodriguez,johnsonbrianna@example.org,2019-08-27,Germany,41,Home Goods,0.44981534971251236,Garden daughter question charge lawyer board.
45,Samantha Cohen,johncook@example.net,2020-01-06,Canada,54,Home Goods,77.68869266087441,Fire officer information little.
19,William Adams,juliebishop@example.com,2019-07-07,Australia,18,Books,94.1928450980416,Eight role team put owner.
51,Jane Flynn,areese@example.org,2015-07-19,Germany,36,Electronics,49.45751421108867,Find your south really value.
58,John Daugherty,harrisrobert@example.net,2024-07-10,Australia,36,Home Goods,12.210943060569557,Thus prevent plant evidence these build.
24,Joseph Olson,christopher58@example.com,2017-05-27,UK,60,Clothing,76.41712958943695,Pull employee decade contain value.
32,William Ross,christianmorris@example.org,2025-01-21,Germany,63,Home Goods,61.39811156217107,Respond theory attention return.
36,Mr. Brandon Phillips MD,sherrymahoney@example.net,2024-10-04,Canada,24,Electronics,62.64744197032083,Stuff community expect smile let.
53,Christopher Byrd,chavezjonathan@example.net,2016-02-02,UK,46,Books,89.29424939981924,Arm particular lawyer traditional product project force.
20,Dennis Alexander,wmartinez@example.com,2020-06-29,Canada,27,Clothing,25.559194207230373,Article charge health feel.
45,Katie Hopkins,singhelijah@example.com,2023-02-18,Canada,47,Home Goods,70.65348252414083,Understand you move rest kid kitchen green.
58,Catherine Gilbert,calvinperry@example.org,2017-06-20,Canada,50,Clothing,35.39889294286726,Last activity build us hot teach else age.
34,Rebecca Taylor,christinedudley@example.com,2015-10-31,UK,42,Home Goods,65.19270233908094,Economic certain purpose new hot direction store hope.
37,Dylan Reynolds,trujillodaniel@example.org,2020-02-14,UK,50,Home Goods,82.77800734407586,Plant season call eight television person up half.
53,Pamela Wright,austin93@example.net,2018-01-26,Germany,46,Books,82.02508567723021,Art pattern provide three coach.
48,Stacey Roberts,masonandrew@example.com,2024-11-24,USA,26,Electronics,9.847466381637894,Sense type push she product piece.
26,Tammy Johns,maria95@example.net,2025-01-15,USA,31,Home Goods,78.93144248735877,High market according among put within.
35,Amanda Olsen,contrerasdavid@example.net,2020-10-11,Canada,58,Home Goods,21.615003198744954,Always executive dinner couple produce base.
51,Alexandria Fletcher,ellischristopher@example.org,2015-11-30,Australia,23,Books,28.106935492674147,Half decision mother always protect.
35,Margaret Nguyen,alan44@example.com,2016-09-10,Australia,36,Electronics,85.12436746329239,Join gun event see among small car.
